Id,SalePrice
1461,144000
1462,145000
1463,143000
1464,223500
1465,143000
1466,143000
1467,173000
1468,177000
1469,143000
1470,144000
1471,245500
1472,89500
1473,89500
1474,115000
1475,144000
1476,325624
1477,394432
1478,274000
1479,307000
1480,386250
1481,286000
1482,199900
1483,158000
1484,155000
1485,120000
1486,219500
1487,143000
1488,143000
1489,199900
1490,143000
1491,130000
1492,144000
1493,148000
1494,290000
1495,260000
1496,143000
1497,143000
1498,143000
1499,143000
1500,143000
1501,176000
1502,151000
1503,394432
1504,193500
1505,286000
1506,160000
1507,140000
1508,193500
1509,127000
1510,98600
1511,129500
1512,136500
1513,140000
1514,136500
1515,143000
1516,140000
1517,147000
1518,136500
1519,274000
1520,136000
1521,145000
1522,163000
1523,135750
1524,80000
1525,103200
1526,103200
1527,120500
1528,115000
1529,145000
1530,190000
1531,169500
1532,87000
1533,145000
1534,115000
1535,131000
1536,145000
1537,120500
1538,161000
1539,140000
1540,104000
1541,110000
1542,127000
1543,234000
1544,34900
1545,100000
1546,110000
1547,169500
1548,110000
1549,110000
1550,210000
1551,125000
1552,137000
1553,127000
1554,128000
1555,136500
1556,85000
1557,125000
1558,84500
1559,104000
1560,122000
1561,136500
1562,116500
1563,115000
1564,235000
1565,127000
1566,286000
1567,100000
1568,187000
1569,126175
1570,180000
1571,115000
1572,223500
1573,199900
1574,60000
1575,212000
1576,204750
1577,199900
1578,110000
1579,156000
1580,185000
1581,130250
1582,127000
1583,239686
1584,239686
1585,131500
1586,86000
1587,83000
1588,60000
1589,100000
1590,115000
1591,103200
1592,132000
1593,100000
1594,100000
1595,115000
1596,190000
1597,135000
1598,115000
1599,187500
1600,212000
1601,60000
1602,110000
1603,100000
1604,245500
1605,140000
1606,235000
1607,190000
1608,199900
1609,147000
1610,147000
1611,155000
1612,158000
1613,132500
1614,115000
1615,88000
1616,88000
1617,91000
1618,110000
1619,124500
1620,184000
1621,143000
1622,115000
1623,324000
1624,175000
1625,105500
1626,163000
1627,173000
1628,148000
1629,149000
1630,423000
1631,143000
1632,286000
1633,120000
1634,173000
1635,143900
1636,173000
1637,148000
1638,192000
1639,148000
1640,260000
1641,148000
1642,239686
1643,148000
1644,148000
1645,170000
1646,148000
1647,167000
1648,145000
1649,138500
1650,110000
1651,110000
1652,89500
1653,89500
1654,115000
1655,128000
1656,115000
1657,115000
1658,115000
1659,133000
1660,165500
1661,437154
1662,252678
1663,325624
1664,325624
1665,325624
1666,274000
1667,325624
1668,394432
1669,286000
1670,325624
1671,274000
1672,386250
1673,290000
1674,235000
1675,143000
1676,235000
1677,199900
1678,386250
1679,274000
1680,325624
1681,235000
1682,274000
1683,190000
1684,183500
1685,174000
1686,133000
1687,115000
1688,133000
1689,183500
1690,130000
1691,120000
1692,148000
1693,120000
1694,174000
1695,120000
1696,148000
1697,180000
1698,325624
1699,350000
1700,239686
1701,280000
1702,143000
1703,394432
1704,325624
1705,270000
1706,325624
1707,143000
1708,204900
1709,143000
